,epoch,low,high,open,close,volume,datetime
104,1610090100,956.05,975.74,956.67,972.3,929.29837603,2021-01-08 07:15:00+00:00
105,1610091000,969.19,987.24,972.99,984.16,982.35421065,2021-01-08 07:30:00+00:00
106,1610091900,980.97,993.0,984.16,989.38,736.65668111,2021-01-08 07:45:00+00:00
107,1610092800,975.39,992.7,989.79,978.16,1144.1560079,2021-01-08 08:00:00+00:00
108,1610093700,974.45,987.59,978.28,981.62,581.14036351,2021-01-08 08:15:00+00:00
109,1610094600,972.03,981.99,980.94,973.14,643.32139212,2021-01-08 08:30:00+00:00
110,1610095500,970.14,983.81,972.93,982.27,687.06436805,2021-01-08 08:45:00+00:00
111,1610096400,971.5,987.83,983.0,973.07,731.81077193,2021-01-08 09:00:00+00:00
112,1610097300,971.02,983.82,973.45,979.56,561.07553708,2021-01-08 09:15:00+00:00
113,1610098200,975.0,986.7,979.61,981.61,649.17466149,2021-01-08 09:30:00+00:00
114,1610099100,980.78,999.0,981.6,999.0,763.58860748,2021-01-08 09:45:00+00:00
115,1610100000,995.77,1007.38,999.0,1002.69,1082.84866614,2021-01-08 10:00:00+00:00
116,1610100900,1000.03,1010.8,1003.21,1010.8,627.31134039,2021-01-08 10:15:00+00:00
117,1610101800,1002.98,1029.0,1010.7,1027.3,2681.18543171,2021-01-08 10:30:00+00:00
118,1610102700,1007.93,1036.46,1027.3,1023.0,2970.15826348,2021-01-08 10:45:00+00:00
119,1610103600,1014.59,1034.36,1022.09,1025.72,1416.24062702,2021-01-08 11:00:00+00:00
120,1610104500,1018.53,1032.5,1025.18,1027.41,1334.92792796,2021-01-08 11:15:00+00:00
121,1610105400,1014.09,1029.8,1025.57,1025.11,1067.49806681,2021-01-08 11:30:00+00:00
122,1610106300,1017.43,1025.93,1025.09,1024.98,1097.25507927,2021-01-08 11:45:00+00:00
123,1610107200,1018.35,1030.91,1024.98,1029.7,1322.97552122,2021-01-08 12:00:00+00:00
124,1610108100,1020.01,1039.37,1028.27,1036.12,1139.13079358,2021-01-08 12:15:00+00:00
125,1610109000,1025.28,1037.03,1036.07,1027.26,942.69472627,2021-01-08 12:30:00+00:00
126,1610109900,1001.5,1028.28,1027.26,1020.68,1867.86707561,2021-01-08 12:45:00+00:00
127,1610110800,998.01,1022.55,1020.68,1008.28,1416.89743689,2021-01-08 13:00:00+00:00
128,1610111700,999.84,1018.2,1008.03,1012.8,910.55652844,2021-01-08 13:15:00+00:00
129,1610112600,1006.82,1019.15,1012.83,1016.8,526.97875002,2021-01-08 13:30:00+00:00
130,1610113500,1012.25,1023.0,1015.62,1020.0,649.31348688,2021-01-08 13:45:00+00:00
131,1610114400,1013.24,1024.99,1019.02,1018.93,673.19772879,2021-01-08 14:00:00+00:00
132,1610115300,1008.0,1020.77,1019.76,1014.68,688.13530621,2021-01-08 14:15:00+00:00
133,1610116200,1009.38,1023.75,1013.83,1019.79,651.47439279,2021-01-08 14:30:00+00:00
134,1610117100,1014.09,1025.0,1019.82,1024.61,609.68888185,2021-01-08 14:45:00+00:00
135,1610118000,1000.0,1029.0,1024.99,1004.91,1476.17245132,2021-01-08 15:00:00+00:00
136,1610118900,975.0,1026.91,1005.79,985.0,3098.14203638,2021-01-08 15:15:00+00:00
137,1610119800,963.01,997.67,984.99,989.2,3189.41732942,2021-01-08 15:30:00+00:00
138,1610120700,988.0,1001.28,990.0,993.33,1100.80090124,2021-01-08 15:45:00+00:00
139,1610121600,992.1,1003.74,994.89,997.33,1260.9281931,2021-01-08 16:00:00+00:00
140,1610122500,982.0,1008.0,995.49,1007.99,1642.45150069,2021-01-08 16:15:00+00:00
141,1610123400,1000.48,1012.0,1007.69,1004.15,861.17150363,2021-01-08 16:30:00+00:00
142,1610124300,1000.0,1008.48,1005.06,1001.96,464.22727674,2021-01-08 16:45:00+00:00
143,1610125200,985.83,1007.73,1001.99,1004.6,1162.47556341,2021-01-08 17:00:00+00:00
144,1610126100,1000.0,1008.92,1004.96,1003.09,631.76591199,2021-01-08 17:15:00+00:00
145,1610127000,993.94,1005.07,1003.08,997.17,787.20673989,2021-01-08 17:30:00+00:00
146,1610127900,988.92,1000.0,996.27,994.14,832.21795099,2021-01-08 17:45:00+00:00
147,1610128800,971.84,998.97,993.25,975.25,1682.62365377,2021-01-08 18:00:00+00:00
148,1610129700,965.25,982.43,976.39,968.5,1646.8106339,2021-01-08 18:15:00+00:00
149,1610130600,960.09,987.45,969.0,969.89,1479.64771161,2021-01-08 18:30:00+00:00
150,1610131500,969.31,986.35,970.74,969.57,1044.12497179,2021-01-08 18:45:00+00:00
151,1610132400,970.15,985.87,970.82,983.3,708.62146833,2021-01-08 19:00:00+00:00
152,1610133300,972.67,984.3,983.91,974.88,665.06526122,2021-01-08 19:15:00+00:00
153,1610134200,968.12,981.78,974.28,970.47,485.44087222,2021-01-08 19:30:00+00:00
154,1610135100,961.0,980.7,970.07,969.12,1896.32674896,2021-01-08 19:45:00+00:00
155,1610136000,943.23,970.08,967.94,959.66,2995.84327457,2021-01-08 20:00:00+00:00
156,1610136900,952.5,977.59,959.62,956.89,1587.88429654,2021-01-08 20:15:00+00:00
157,1610137800,944.0,960.56,956.6,945.21,1588.38617845,2021-01-08 20:30:00+00:00
158,1610138700,935.9,955.97,945.21,937.35,2606.90856441,2021-01-08 20:45:00+00:00
159,1610139600,928.0,950.11,937.11,950.11,2577.59682366,2021-01-08 21:00:00+00:00
160,1610140500,946.15,972.19,949.6,966.63,1706.43448013,2021-01-08 21:15:00+00:00
161,1610141400,963.51,975.77,966.01,969.21,1142.9425449,2021-01-08 21:30:00+00:00
162,1610142300,961.81,980.0,970.34,975.16,1104.70060325,2021-01-08 21:45:00+00:00
163,1610143200,962.0,976.13,976.13,965.07,696.11338453,2021-01-08 22:00:00+00:00
164,1610144100,954.09,967.48,964.91,965.83,597.32208237,2021-01-08 22:15:00+00:00
165,1610145000,965.86,993.54,966.0,992.95,2051.42567391,2021-01-08 22:30:00+00:00
166,1610145900,988.07,997.98,992.95,995.43,682.65947605,2021-01-08 22:45:00+00:00
167,1610146800,988.0,997.21,994.68,991.99,424.84691043,2021-01-08 23:00:00+00:00
168,1610147700,987.32,1005.35,991.81,1003.54,1535.27365689,2021-01-08 23:15:00+00:00
169,1610148600,992.08,1005.0,1001.88,994.14,550.39281903,2021-01-08 23:30:00+00:00
170,1610149500,991.7,999.91,993.41,994.25,377.1570448,2021-01-08 23:45:00+00:00
171,1610150400,993.97,1008.36,993.97,997.34,833.13301177,2021-01-09 00:00:00+00:00
172,1610151300,996.79,1006.0,997.0,999.2,449.42890682,2021-01-09 00:15:00+00:00
173,1610152200,976.0,998.34,998.34,979.44,929.69966016,2021-01-09 00:30:00+00:00
174,1610153100,966.83,981.53,979.32,977.43,1176.99000918,2021-01-09 00:45:00+00:00
175,1610154000,962.23,977.52,977.37,974.89,529.98292626,2021-01-09 01:00:00+00:00
176,1610154900,958.03,977.73,974.4,972.15,670.86256387,2021-01-09 01:15:00+00:00
177,1610155800,965.75,975.81,972.61,971.18,322.18610926,2021-01-09 01:30:00+00:00
178,1610156700,967.5,979.14,972.22,979.14,272.90590541,2021-01-09 01:45:00+00:00
179,1610157600,977.2,985.93,979.25,984.0,204.49218842,2021-01-09 02:00:00+00:00
180,1610158500,979.19,988.29,984.64,983.54,261.02674858,2021-01-09 02:15:00+00:00
181,1610159400,964.53,982.72,982.22,967.12,168.65321807,2021-01-09 02:30:00+00:00
182,1610160300,963.0,981.12,967.54,979.72,296.94266523,2021-01-09 02:45:00+00:00
183,1610161200,973.92,991.74,979.39,991.74,169.97003291,2021-01-09 03:00:00+00:00
184,1610162100,985.36,1000.14,991.12,998.53,223.43174932,2021-01-09 03:15:00+00:00
185,1610163000,998.23,1005.05,998.25,999.69,280.99378188,2021-01-09 03:30:00+00:00
186,1610163900,993.89,1002.0,1000.76,1001.97,186.55409095,2021-01-09 03:45:00+00:00
187,1610164800,988.64,1000.99,1000.99,991.63,159.29831027,2021-01-09 04:00:00+00:00
188,1610165700,987.5,998.79,991.88,994.22,128.18668204,2021-01-09 04:15:00+00:00
